Processes: 303 total, 2 running, 301 sleeping, 1490 threads
2021/10/12 15:53:43
Load Avg: 1.23, 1.25, 1.18
CPU usage: 4.67% user, 26.16% sys, 69.15% idle
SharedLibs: 157M resident, 52M data, 30M linkedit.
MemRegions: 129813 total, 1685M resident, 52M private, 532M shared.
PhysMem: 8172M used (2223M wired), 18M unused.
VM: 5177G vsize, 1371M framework vsize, 12836793(0) swapins, 13807265(0) swapouts.
Networks: packets: 19427236/22G in, 10440141/967M out.
Disks: 18380597/185G read, 41489324/419G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW     MSGSENT    MSGRECV    SYSBSD     SYSMACH    CSW        PAGEINS  IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
94541  akd              0.0  00:00.07 2     1   61+    2104K+ 0B     1208K+ 94541 1     sleeping *0[5+]      0.00000 0.00000    501 2911+     192+    458+       122+       2066+      804+       502+       0        12       0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94540  SidecarRelay     0.0  00:00.03 2     2   35+    1016K+ 0B     488K+  94540 1     sleeping *0[52+]     0.00000 0.00000    501 2021+     166+    392+       91+        790+       501+       144+       0        2        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94539  WirelessRadioMan 0.0  00:00.02 2     1   51+    1552K+ 0B     1528K+ 94539 1     sleeping *0[1+]      0.00000 0.00000    0   3405+     183+    191+       74+        1050+      347+       163+       0        3        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A
94538  com.apple.Safari 0.0  00:00.15 3     1   41+    4140K+ 0B     2652K+ 94538 1     sleeping *0[10+]     0.00000 0.00000    501 8531+     186+    222+       72+        3375+      555+       564+       0        13       0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94537  cdpd             0.0  00:00.01 2     1   36+    1096K+ 0B     1084K+ 94537 1     sleeping *0[1+]      0.00000 0.00000    501 2582+     138+    125+       39+        504+       280+       77+        0        1        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94536  com.apple.CodeSi 0.0  00:00.03 2     2   19+    2160K+ 0B     1748K+ 94536 1     sleeping *0[13+]     0.00000 0.00000    0   2157+     134+    200+       86+        2057+      289+       158+       0        7        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A
94535  Keychain Circle  0.0  00:00.16 3     1   138+   3580K+ 0B     2832K+ 94535 1     sleeping *0[1+]      0.00000 0.00000    501 8881+     264+    1605+      571+       3050+      4977+      2401+      0        259      0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94533  keybagd          0.0  00:00.00 2     1   27+    744K+  0B     736K+  94533 1     sleeping *0[1+]      0.00000 0.00000    0   1473+     132+    60+        23+        342+       148+       31+        0        1        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A
94532  soagent          0.0  00:00.32 2     1   104+   8564K+ 0B     8512K+ 94532 1     sleeping *0[4+]      0.00000 0.00000    501 10274+    436+    669+       162+       5728+      2035+      960+       0        8        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94527  routined         0.0  00:00.61 2     1   102+   7412K+ 128K+  4320K+ 94527 1     sleeping *0[6+]      0.00000 0.00000    501 11054+    300+    1246+      382+       15673+     2747+      5421+      0        54       0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94519  studentd         0.0  00:00.61 2     1   126+   8216K+ 0B     6556K+ 94519 1     sleeping *0[1+]      0.00000 0.00000    501 9464+     427+    2144+      764+       12253+     6127+      4735+      53+      486      0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94518  mdworker_shared  0.0  00:01.86 4     1   61+    7256K+ 0B     1704K+ 94518 1     sleeping *0[1+]      0.00000 0.00000    501 113706+   189+    4084+      1547+      19146+     15644+     3716+      0        1        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94501  Siri             0.0  00:01.09 3     1   146+   4448K+ 0B     2944K+ 94501 1     sleeping *0[1+]      0.00000 0.00000    501 9055+     276+    19387+     4542+      10027+     29238+     10683+     196+     295      0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94469  backupd          0.0  00:00.14 2     1   44+    1832K+ 0B     1184K+ 94469 1     sleeping *0[1+]      0.00000 0.00000    0   8702+     203+    929+       327+       4878+      1968+      1593+      97+      64       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A
94406  parsecd          0.0  00:00.53 2     1   61+    6012K+ 0B     3912K+ 94406 1     sleeping *0[140+]    0.00000 0.00000    501 9273+     354+    1698+      250+       8101+      3310+      5871+      585+     409      0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94382  secinitd         0.0  00:01.19 2     2   47+    6028K+ 0B     5984K+ 94382 1     sleeping *0[42+]     0.00000 0.00000    501 5875+     179+    347+       353+       6452+      945+       3899+      4+       22       0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94347  Google Chrome He 0.0  00:02.91 7     1   71+    34M+   0B     33M+   4148  4148  sleeping *0[4+]      0.00000 0.00000    501 97116+    2338+   15274+     6583+      40211+     22682+     21885+     480+     327      0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94346  Google Chrome He 0.0  00:18.01 13    1   143+   87M+   0B     75M+   4148  4148  sleeping *0[6+]      0.00000 0.00000    501 129739+   4358+   64148+     40829+     106312+    200218+    152997+    221+     2114     0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94345  Google Chrome He 0.0  00:00.51 13    1   125+   17M+   0B     12M+   4148  4148  sleeping *0[4+]      0.00000 0.00000    501 18512+    2216+   3420+      1869+      6495+      11831+     7899+      33+      488      0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94337  Google Chrome He 0.0  00:12.71 13    1   213+   58M+   0B     49M+   4148  4148  sleeping *0[6+]      0.00000 0.00000    501 83260+    3498+   56782+     25433+     90663+     129994+    96942+     422+     1237     0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94322  bash             0.0  00:00.21 1     0   21+    776K+  0B     412K+  94322 94318 sleeping *0[1+]      0.00000 0.00000    501 3744+     1885+   151+       66+        25366+     195+       1173+      13+      0        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94318  login            0.0  00:00.03 2     1   31+    1000K+ 0B     992K+  94318 64250 sleeping *0[9+]      0.00000 0.00000    0   1731+     186+    121+       30+        2228+      257+       567+       14+      0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A
94311  ContactsAccounts 0.0  00:00.40 2     1   71+    1860K+ 0B     1824K+ 94311 1     sleeping *0[33+]     0.00000 0.00000    501 6590+     164+    2392+      879+       6803+      5004+      3355+      26+      29       0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94302  Google Chrome He 0.0  00:09.26 15    1   176+   113M+  0B     105M+  4148  4148  sleeping *0[6+]      0.00000 0.00000    501 117330+   2909+   30959+     16641+     51635+     80833+     63127+     1683+    1377     0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94254  Telegram         0.0  02:19.35 31    7   1870+  548M+  0B     295M+  94254 1     sleeping  0[674+]    0.00000 0.00000    501 1554785+  7071+   319498+    93527+     882861+    794761+    678213+    7678+    15345    0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94240  Atom Helper (Ren 0.0  00:00.76 13    1   132+   54M+   0B     52M+   1468  1468  sleeping *0[1+]      0.00000 0.00000    501 53017+    4846+   2383+      1581+      6401+      6951+      5256+      1409+    417      0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94210  Atom Helper (Ren 0.0  01:04.13 20    1   233+   179M+  0B     107M+  1468  1468  sleeping *0[9+]      0.00000 0.00000    501 222999+   4258+   243694+    96438+     585959+    854429+    601757+    12223+   121941   0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94201  com.apple.WebKit 0.0  00:19.05 5     2   177+   218M+  6656K+ 143M+  94201 1     sleeping  0[306+]    0.00000 0.00000    501 375642+   8155+   151528+    75248+     240958+    311424+    187124+    2042+    4219     0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94182  netbiosd         0.0  00:00.05 2     2   28+    2344K+ 0B     2220K+ 94182 1     sleeping *0[1+]      0.00000 0.00000    222 3295+     156+    108+       31+        932+       223+       427+       31+      40       0.0   0      0      _netbios           N/A    N/A   N/A   N/A   N/A   N/A
94177  com.apple.WebKit 0.0  00:00.37 4     1   106+   8624K+ 0B     7956K+ 94177 1     sleeping  0[296+]    0.00000 0.00000    501 16477+    454+    4029+      1759+      9464+      15984+     6777+      4+       727      0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94176  com.apple.WebKit 0.0  00:09.46 4     1   119+   86M+   0B     77M+   94176 1     sleeping  0[295+]    0.00000 0.00000    501 99133+    490+    39427+     21423+     94143+     122732+    65345+     225+     2177     0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94133  com.apple.WebKit 0.0  00:09.30 4     1   122+   188M+  0B     113M+  94133 1     sleeping  0[332+]    0.00000 0.00000    501 95938+    1322+   23067+     12035+     39456+     75275+     37458+     86+      1957     0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
